so,req,database,type,total_time,server_response,db_response,cpu_usage
linux,250,mysql,read,0.103326082,0.101891994,0.001474857,2.4
linux,250,mysql,read,0.103583097,0.101907015,0.001471996,1.3
linux,250,mysql,read,0.103832006,0.102308035,0.001838923,0
linux,250,mysql,read,0.104979038,0.101964951,0.001477003,2.4
linux,250,mysql,read,0.103391886,0.101945877,0.001532793,0
linux,250,mysql,read,0.106125116,0.104282141,0.003757,1.2
linux,250,mysql,read,0.103268862,0.101817131,0.001413107,0
linux,250,mysql,read,0.103352785,0.101907969,0.001502991,0
linux,250,mysql,read,0.103399038,0.101955891,0.001533031,1.2
linux,250,mysql,read,0.107331038,0.104505062,0.003767967,1.2
linux,250,mysql,read,0.103446007,0.101984024,0.001558065,0
linux,250,mysql,read,0.10344696,0.101995945,0.00156498,0
linux,250,mysql,read,0.103768826,0.102313995,0.001909971,0
linux,250,mysql,read,0.103286982,0.101830959,0.001415968,0
linux,250,mysql,read,0.103394985,0.101964951,0.001538038,0
linux,250,mysql,read,0.103415012,0.101963043,0.001546144,0
linux,250,mysql,read,0.103332043,0.101883173,0.001461029,0
linux,250,mysql,read,0.103355885,0.101900101,0.001477003,0
linux,250,mysql,read,0.103678942,0.102221012,0.001779079,0
linux,250,mysql,read,0.103688955,0.102241039,0.001832008,0
linux,250,mysql,read,0.103425026,0.101942062,0.001521111,0
linux,250,mysql,read,0.10574913,0.103469133,0.002747059,1.3
linux,250,mysql,read,0.10336113,0.101919889,0.001473904,0
linux,250,mysql,read,0.103448153,0.101999998,0.001567125,1.2
linux,250,mysql,read,0.103372097,0.101915121,0.00148797,0
linux,250,mysql,read,0.103319168,0.1018641,0.001451969,2.5
linux,250,mysql,read,0.103876114,0.102432013,0.001966,1.3
linux,250,mysql,read,0.103441954,0.10199213,0.001558065,1.2
linux,250,mysql,read,0.10344696,0.101999998,0.001568079,1.3
linux,250,mysql,read,0.103441954,0.101987123,0.001566172,0
linux,250,mysql,read,0.103404045,0.101961136,0.001543045,0
linux,250,mysql,read,0.103410959,0.101962805,0.001539946,0
linux,250,mysql,read,0.103466988,0.102006912,0.001581907,0
linux,250,mysql,read,0.104184151,0.102730036,0.002305031,0
linux,250,mysql,read,0.103445053,0.10197401,0.001540899,0
linux,250,mysql,read,0.103410006,0.101933002,0.001518965,0
linux,250,mysql,read,0.103445053,0.101969004,0.001539946,0
linux,250,mysql,read,0.10333395,0.101861,0.001439095,0
linux,250,mysql,read,0.103312969,0.101847172,0.001421213,0
linux,250,mysql,read,0.103353977,0.101889849,0.001477003,0
linux,250,mysql,read,0.116080999,0.114607811,0.014177799,1.2
linux,250,mysql,read,0.10451293,0.102379084,0.001833916,1.2
linux,250,mysql,read,0.103368044,0.101920128,0.001489162,0
linux,250,mysql,read,0.103384018,0.101957798,0.001528978,1.2
linux,250,mysql,read,0.103394985,0.101947069,0.001523018,2.5
linux,250,mysql,read,0.103391171,0.101941109,0.001513004,0
linux,250,mysql,read,0.104496002,0.10293889,0.002475023,1.2
linux,250,mysql,read,0.103363991,0.101915121,0.001501083,0
